thumb_cmc_spread,thumb_cmc_stretch,thumb_mcp_stretch,thumb_ip_stretch,index_mcp_spread,index_mcp_stretch,index_pip_stretch,index_dip_stretch,middle_mcp_spread,middle_mcp_stretch,middle_pip_stretch,middle_dip_stretch,ring_mcp_spread,ring_mcp_stretch,ring_pip_stretch,ring_dip_stretch,pinky_mcp_spread,pinky_mcp_stretch,pinky_pip_stretch,pinky_dip_stretch
50.63,44.66,6.04,21.17,2.05,64.94,46.68,35.01,4.75,24.05,13.38,10.03,6.89,1.91,4.42,3.31,-16.18,1.9,1.04,0.78
50.57,44.62,6.04,21.14,2.06,64.85,46.66,35,4.78,23.9,13.38,10.03,6.92,1.75,4.43,3.32,-16.09,1.91,1.04,0.78
50.39,44.54,6.04,21.12,2.08,64.72,46.67,35,4.87,23.55,13.36,10.02,7.01,1.36,4.45,3.34,-15.87,1.96,1.04,0.78
49.99,44.37,6.04,21.05,2.11,64.61,46.63,34.98,5,23,13.35,10.01,7.15,0.7,4.45,3.34,-15.55,1.86,1.04,0.78
49.64,44.07,6,21.03,2.15,64.46,46.49,34.87,5.17,22.32,13.34,10,7.37,-0.32,4.45,3.34,-15.56,1.08,1.04,0.78
49.42,43.93,6.05,20.93,2.18,64.57,46.4,34.8,5.44,21.29,13.34,10,7.7,-1.82,4.45,3.34,-18.24,0.14,1.04,0.78
49.14,43.85,6.16,20.89,2.22,64.59,46.24,34.68,5.99,18.55,13.36,10.02,7.97,-3.03,4.44,3.33,-19.64,-0.03,1.01,0.76
48.97,44.2,6.67,20.66,2.23,64.66,45.88,34.41,6.21,17.58,13.54,10.15,8.13,-3.77,4.38,3.28,-20.52,-0.23,0.84,0.63
48.67,44.42,7.15,20.48,2.25,64.75,45.36,34.02,6.38,16.91,13.55,10.16,8.27,-4.44,4.17,3.13,-20.49,-0.33,0.75,0.56
48.34,44.32,7.29,20.41,2.23,63.68,45.2,33.9,6.29,15.94,13.57,10.17,8.51,-5.53,3.88,2.91,-20.46,-0.96,0.72,0.54
48.99,44.57,7.35,20.37,2.1,65.29,44.48,33.36,6.49,14.86,13.57,10.17,8.74,-6.6,3.41,2.56,-23.77,-1.1,0.69,0.52
49.49,44.61,7.51,20.3,2,66.36,43.71,32.78,6.64,13.96,13.55,10.16,8.98,-7.7,3.03,2.27,-25.25,-1.27,0.65,0.48
49.55,44.52,7.81,20.09,1.82,68.15,41.8,31.35,6.66,13.4,13.58,10.18,9.16,-8.52,1.89,1.42,-25.1,-0.02,0.49,0.37
49.51,44.59,7.8,19.54,1.73,69.13,40.59,30.45,6.72,12.91,13.58,10.18,9.32,-9.26,1.52,1.14,-25.58,0,0.43,0.32
49.15,44.26,7.77,19.25,1.64,70.09,39.79,29.84,6.87,11.84,13.51,10.14,9.68,-10.92,1.4,1.05,-26.29,-0.96,0.42,0.31
47.28,43.21,7.84,19.22,1.58,70.7,38.71,29.03,7.53,7.67,13.53,10.15,10.84,-16.38,1.2,0.9,-25.39,-3.12,0.38,0.28
44.22,41.13,7.81,19.18,1.67,69.38,36.93,27.7,8.44,2.01,13.6,10.2,11.79,-20.94,0.92,0.69,-23.16,-1.7,0.36,0.27
43.57,40.32,7.72,19.15,1.67,69.29,36.71,27.53,8.76,-0.02,13.61,10.21,12.05,-22.2,0.84,0.63,-21.28,-0.42,0.35,0.26
43.51,40.14,7.7,19.06,1.77,68.14,36.77,27.57,8.83,-0.29,13.61,10.21,11.96,-21.76,0.8,0.6,-20.39,0.35,0.33,0.25
43.93,40.66,7.23,19.09,1.91,66.52,38.24,28.68,8.63,1.08,13.55,10.16,11.63,-20.17,0.8,0.6,-19.62,0.78,0.32,0.24
45,41.34,7.02,19.21,1.94,66.23,38.45,28.84,8.52,1.8,13.48,10.11,11.57,-19.89,0.8,0.6,-19.6,0.76,0.32,0.24
45.69,40.76,6.46,19.68,1.98,65.72,40.73,30.55,7.91,5.25,13.51,10.13,10.65,-15.47,0.83,0.62,-19.66,1.72,0.33,0.25
45.71,40.69,6.47,19.84,2,65.69,41.32,30.99,7.98,5.06,13.51,10.13,10.69,-15.67,0.84,0.63,-19.36,1.65,0.34,0.25
49,42.41,6.78,19.97,1.8,66.44,41.88,31.41,6.95,8.74,14.14,10.6,9.9,-11.98,0.98,0.74,-21.7,-0.47,0.36,0.27
49.6,43.27,6.95,23.42,1.73,66.78,42.61,31.96,6.53,10.72,14.27,10.71,9.45,-9.89,1.01,0.75,-21.99,-0.15,0.36,0.27
49.5,43.86,7.17,26.14,1.65,66.99,43.16,32.37,6.14,11.77,14.32,10.74,9.23,-8.83,1.06,0.8,-21.47,0.41,0.4,0.3
49.77,44.14,7.49,29.05,1.63,67.28,45.25,33.93,6.04,12.48,14.88,11.16,9.19,-8.66,1.4,1.05,-21.23,0.39,0.43,0.32
49.76,44.03,7.53,30.93,1.66,67.1,45.45,34.09,6.11,12.17,14.99,11.24,9.22,-8.8,1.55,1.16,-21.1,0.5,0.44,0.33
49.79,43.94,7.53,31.16,1.67,66.95,45.49,34.12,6.17,11.74,15.1,11.32,9.26,-8.97,1.56,1.17,-21.16,0.68,0.44,0.33
49.66,44.16,7.51,36.64,1.67,67.08,45.91,34.43,6.42,10.42,16.04,12.03,9.46,-9.94,1.57,1.18,-20.83,0.41,0.44,0.33
48.27,44.69,8.32,44.21,1.78,66.39,47.43,35.57,6.78,9.13,17.51,13.13,9.45,-9.88,1.81,1.36,-21.01,0.19,0.44,0.33
48.31,45.03,8.75,43.75,1.8,66.2,49.57,37.18,6.78,9.33,19.42,14.57,9.29,-9.11,2.01,1.51,-21.21,0.51,0.46,0.34
49.24,46.76,10.72,46.58,1.84,65.94,50.88,38.16,6.77,9.5,19.41,14.56,9.24,-8.87,2.01,1.51,-21.46,0.5,0.46,0.34
49.91,46.74,10.6,46.02,1.87,65.54,50.88,38.16,6.83,9.17,19.08,14.31,9.2,-8.71,1.96,1.47,-21.63,0.51,0.44,0.33
50.13,46.37,10.27,44.73,1.88,65.41,50.04,37.53,6.85,9.1,18.9,14.18,9.14,-8.43,1.89,1.42,-21.81,0.72,0.4,0.3
50.08,45.63,9.58,43.85,1.88,65.34,49.51,37.13,6.83,9.2,18.88,14.16,9.08,-8.17,1.8,1.35,-21.84,0.82,0.39,0.29
50.21,45.65,9.43,43.83,1.86,65.43,49.28,36.96,6.7,9.68,18.89,14.17,8.92,-7.39,1.8,1.35,-21.83,1.07,0.38,0.28
